K,Rem,cdrag
0.6,9069.740872419748,1.9952946095487245
0.6,2055.295211048812,2.3595478258642184
0.6,2211.921788658176,2.1889214657003744
0.6,1234.159209346013,2.4577480234708404
0.6,1776.411952952147,2.3674676655127604
0.6,1961.372245309232,2.4159800718466204
0.6,1188.6023926195,2.3409869078555747
0.6,2694.905692901802,2.1449073816737108
0.6,2746.349916914756,2.159602511277069
0.6,2792.43195271048,2.046060810137272
0.6,1451.0763864022,2.4934370884177195
0.6,2686.602622182073,2.0724736728922952
0.6,2249.750278808926,2.3395293893716147
0.6,1551.9797281762883,2.4684779193969035
0.6,5349.724493680448,2.1611270307792485
0.6,1545.2696989475594,2.0536563165104504
0.6,1861.071198096692,2.173621738529208
0.6,2724.7901086031616,2.2970100381635943
0.6,2681.4004523630783,2.092210409452993
0.6,2565.785701942602,2.111674930657561
0.6,4031.661781869628,2.1109850120640297
0.6,2724.7901086031616,2.133878131500384
0.6,1705.4810538374436,2.386148908265109
0.6,2655.9124248385174,2.2912949035026107
0.6,1929.1260291645756,2.46083289007414
0.6,2276.507398133407,2.342728602272546
0.6,1814.4479144797656,2.355647480297153
0.6,1772.82306685428,2.3474127254500954
0.6,3228.743715661551,2.3619411819380787
0.6,2619.429677627752,2.3321903986457744
0.6,307.04270446212547,2.42741249630474
0.6,2072.6570284690183,2.303304145704323
0.6,1552.6227411936436,2.1856984357737894
0.6,1805.3472913314915,2.3000065087050685
0.6,1950.2432966650344,2.235499842900302
0.6,3373.551473638887,2.0949544979314023
0.6,2624.2507550985147,2.3305389204535154
0.6,1661.8138133702032,2.424941202692034
0.6,2113.5728421492063,2.209929083299302
0.6,5502.362167660628,2.2061575142525216
0.6,1822.560879425946,2.311180809567456
0.6,1626.6126611217414,2.2536969368313367
0.6,2622.8187537957065,2.292071020604223
0.6,6439.612086084975,2.103300546067
0.6,2682.7791655223127,2.234833594941935
0.6,2297.0227018075007,2.337348626040336
0.6,1763.8076159151633,2.360738571075171
0.6,2692.8072075429905,2.0905091898079746
0.6,4174.059433996454,2.20413274684551
0.6,2980.001088419204,2.062493935511312
0.6,1632.7394760751083,2.09972591521752
0.6,3560.140741993103,2.337630729859824
0.6,1389.925774785304,2.1931552546943256
0.6,2276.54742853438,2.127827834536897
0.6,1991.995424666004,2.4172988648136005
0.6,1736.4331969629882,2.3642313464761675
0.6,1861.83032345838,2.27047948540519
0.6,2928.5724638024813,2.21737754385708
0.6,2391.907394518189,2.1439424773321094
0.6,2815.2474368799963,2.276157350614811
0.6,1517.5646982684716,2.410716042520276
0.6,2623.7644395423813,2.1113007097646657
0.6,6873.117897541065,2.070721608848414
0.6,2708.723805757601,2.0998650324370205
0.6,5345.937534833592,2.2121681816979963
1.2,6735.419449785753,1.5812773430394742
1.2,3741.0607628020753,1.705933718896283
1.2,2432.8431578718223,1.6898103335995909
1.2,1995.629425396701,1.844680365708301
1.2,1373.8610674831586,1.7894537923730736
1.2,1285.9955506994029,1.902730126590882
1.2,6205.925165392156,1.568290945434269
1.2,2457.188871307825,1.7285569688905138
1.2,2498.466227375253,1.7415259955763296
