    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
  97     7.25      9.98866e+15        7          0.10441         0.113021     36.62m
  98     7.22      6.37652e+10        7         0.104417         0.112954     36.38m
  99     7.13      1.22208e+11        7         0.104465         0.112522     35.30m
 100     7.28      6.14218e+10        7         0.104446         0.112701     35.31m
 101     7.20      1.23926e+11        7         0.104315         0.113877     35.45m
 102     7.22      1.76714e+15        7         0.103884         0.117759     34.47m
 103     7.21      8.79006e+07        7         0.104425         0.112889     34.77m
 104     7.19      4.41009e+13        7         0.104341          0.11364     34.48m
 105     7.29      2.08279e+12        7         0.104274         0.114246     38.25m
 106     7.25      2.09367e+14        7         0.104435         0.112798     36.82m
 107     7.21      1.13236e+14        7         0.104395         0.113152     38.46m
 108     7.21       3.5751e+14        7         0.104478         0.112412     39.34m
 109     7.16      3.55852e+11        7         0.104342         0.113633     50.17m
 110     7.21      6.28755e+10        7         0.104306         0.113958     45.44m
 111     7.20      1.94281e+11        7         0.104253         0.114435     52.79m
 112     7.26      2.78383e+15        7         0.104334         0.113702     48.14m
 113     7.25      6.70956e+10        7         0.104364         0.113431     41.89m
 114     7.23      1.86496e+10        7         0.104211          0.11481     39.88m
 115     7.23      2.76858e+08        7          0.10421          0.11482     44.35m
 116     7.18      1.90117e+08        7         0.104272         0.114264     39.07m
 117     7.23      3.37419e+18        7         0.104001         0.116699     39.08m
 118     7.22      2.21784e+08        7         0.104172         0.115166     39.17m
 119     7.25      2.11425e+14        7         0.104271         0.114273     37.34m
 120     7.19      4.53281e+14        7          0.10437         0.113382     42.74m
 121     7.30      2.87196e+14        7         0.104354         0.113529     38.90m
 122     7.21      1.07173e+08        7          0.10433         0.113743     37.37m
 123     7.21      1.93877e+08        7          0.10435         0.113565     35.47m
 124     7.27      1.90876e+11        7         0.104366         0.113414     37.34m
 125     7.23      3.12637e+08        7         0.104398         0.113131     42.99m
 126     7.24      8.42067e+10        7         0.104067         0.116109     34.62m
 127     7.25      4.39669e+08        7         0.104429          0.11285     38.11m
 128     7.27      5.54104e+12        7         0.104476         0.112426     35.34m
 129     7.22      3.43103e+07        7         0.104469         0.112491     33.29m
 130     7.25      3.82767e+18        7         0.104369         0.113394     34.29m
 131     7.23      1.27887e+08        7         0.104439         0.112759     33.14m
 132     7.29      2.38553e+14        7         0.104287         0.114126     32.68m
 133     7.26      2.86869e+10        7         0.104212         0.114801     31.29m
 134     7.20      1.35936e+11        7         0.104323         0.113804     31.95m
 135     7.26      3.10853e+11        7         0.104317         0.113857     31.47m
 136     7.19      1.46489e+13        7         0.104346         0.113598     31.72m
 137     7.24      4.14742e+11        7         0.104374         0.113342     32.11m
 138     7.26      1.88843e+15        7         0.104412         0.113001     33.10m
 139     7.25       1.4664e+11        7         0.104361         0.113463     31.82m
 140     7.21      6.14392e+10        7         0.104181         0.115085     25.39m
 141     7.17       5.5134e+14        7         0.104397         0.113138     24.01m
 142     7.19      7.53684e+11        7         0.104341         0.113645     28.09m
 143     7.20      1.42417e+15        7           0.1042         0.114911     24.15m
 144     7.22      1.02085e+17        7         0.104371         0.113376     31.13m
 145     7.19      1.34796e+10        7         0.104129         0.115554     33.21m
 146     7.22      7.91476e+10        7         0.104305         0.113964     29.96m
 147     7.20      6.17757e+10        7          0.10428          0.11419     25.18m
 148     7.19      2.56888e+11        7         0.104163         0.115241     24.21m
 149     7.26       6.1977e+10        7         0.104267         0.114306     22.90m
 150     7.26      2.39703e+15        7         0.104361         0.113459     25.57m
 151     7.22      2.21824e+14        7          0.10435         0.113563     24.29m
 152     7.21      1.08624e+12        7         0.104359         0.113483     23.72m
 153     7.23       8.4975e+10        7         0.104349         0.113569     24.00m
 154     7.24      1.28082e+10        7         0.104472         0.112459     22.32m
 155     7.17      7.79757e+10        7         0.104237         0.114582     21.55m
 156     7.16      1.93487e+07        7         0.104258          0.11439     21.34m
 157     7.26       2.1355e+11        7          0.10424         0.114548     19.93m
 158     7.25      2.02576e+12        7         0.104366         0.113413     18.83m
 159     7.21      1.02697e+11        7         0.104407         0.113048     18.64m
 160     7.18      6.00533e+11        7         0.104286         0.114139     17.93m
 161     7.24      1.79483e+10        7         0.104382         0.113277     18.09m
 162     7.26      1.23632e+20        7         0.104426         0.112875     17.79m
 163     7.21      1.23549e+11        7         0.104324         0.113797     16.94m
 164     7.25      2.22253e+14        7         0.104372          0.11336     21.84m
 165     7.18      2.59277e+07        7         0.104394         0.113169     17.33m
 166     7.25      5.66095e+07        7         0.104458         0.112593     17.18m
